TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2026,5,6,17,0,24XX CAMBIE ST,Fairview,491636.2454,5456793.1139
Theft from Vehicle,2026,2,15,9,10,24XX COMMERCIAL DR,Grandview-Woodland,494927.2891,5456686.6775
Theft from Vehicle,2026,5,5,19,45,24XX CROWN ST,West Point Grey,485775.286,5456933.5805
Theft from Vehicle,2026,5,24,13,45,24XX CROWN ST,West Point Grey,485828.8035,5456866.4185
Theft from Vehicle,2026,4,20,19,30,24XX E 20TH AVE,Renfrew-Collingwood,495882.9524,5455505.9374
Theft from Vehicle,2026,4,2,23,54,24XX E 20TH AVE,Renfrew-Collingwood,495991.746,5455506.4739
Theft from Vehicle,2026,1,13,19,0,24XX E 22ND AVE,Renfrew-Collingwood,495882.5357,5455313.1896
Theft from Vehicle,2026,4,25,11,32,24XX E 24TH AVE,Renfrew-Collingwood,495936.3893,5455132.2801
Theft from Vehicle,2026,1,5,16,0,24XX E 40TH AVE,Renfrew-Collingwood,495839.2677,5453451.3751
Theft from Vehicle,2026,5,16,17,4,24XX GALT ST,Renfrew-Collingwood,495824.4504,5454409.1615
Theft from Vehicle,2026,6,4,12,30,24XX GALT ST,Renfrew-Collingwood,495980.5707,5454306.6242
Theft from Vehicle,2026,3,27,14,30,24XX HARRISON DR,Victoria-Fraserview,495865.1956,5450788.255
Theft from Vehicle,2026,4,28,23,0,24XX KINGSWAY AVE,Renfrew-Collingwood,495911.9677,5454240.7102
Theft from Vehicle,2026,5,25,21,30,24XX KINGSWAY AVE,Renfrew-Collingwood,495958.4128,5454219.578
Theft from Vehicle,2026,4,26,21,15,24XX LARCH ST,Kitsilano,488200.4429,5456876.539
Theft from Vehicle,2026,4,6,19,25,24XX ST LAWRENCE ST,Renfrew-Collingwood,495873.084,5454515.5871
Theft from Vehicle,2026,4,4,3,44,24XX ST LAWRENCE ST,Renfrew-Collingwood,495900.1844,5454497.8806
Theft from Vehicle,2026,3,8,23,0,24XX ST LAWRENCE ST,Renfrew-Collingwood,495948.6829,5454463.8248
Theft from Vehicle,2026,2,12,1,30,24XX ST LAWRENCE ST,Renfrew-Collingwood,495950.7855,5454473.4671
Theft from Vehicle,2026,4,28,18,0,24XX VENABLES ST,Hastings-Sunrise,495889.6343,5458193.2207
Theft from Vehicle,2026,2,16,19,0,24XX W 10TH AVE,Kitsilano,488350.3044,5456699.049
Theft from Vehicle,2026,2,24,20,0,26XX WALLACE ST,West Point Grey,486119.743,5456773.0061
Theft from Vehicle,2026,1,6,7,0,26XX WAVERLEY AVE,Victoria-Fraserview,496066.8465,5452669.8109
Theft from Vehicle,2026,5,11,21,48,26XX WAVERLEY AVE,Victoria-Fraserview,496186.7572,5452678.4652
Theft from Vehicle,2026,5,1,9,11,27XX ALAMEIN AVE,Arbutus Ridge,487898.6849,5455283.1583
Theft from Vehicle,2026,5,24,10,45,27XX BLANCA ST,West Point Grey,484352.8474,5456710.6754
Theft from Vehicle,2026,5,12,4,13,27XX CHEYENNE AVE,Renfrew-Collingwood,496400.726,5454326.5601
Theft from Vehicle,2026,4,30,21,0,27XX COLUMBIA ST,Mount Pleasant,492035.5114,5456501.1872
Theft from Vehicle,2026,3,10,7,46,27XX DISCOVERY ST,West Point Grey,485231.4211,5456689.8062
Theft from Vehicle,2026,4,7,23,0,27XX E 24TH AVE,Renfrew-Collingwood,496501.3144,5455120.5678
Theft from Vehicle,2026,4,8,20,0,27XX E 48TH AVE,Killarney,496466.0332,5452555.0292
Theft from Vehicle,2026,5,16,11,30,27XX E 49TH AVE,Victoria-Fraserview,496190.0364,5452441.73
