grid_id,crime_count,x,y,distance_to_center,avg_hour,night_ratio,weekend_ratio,neighbourhoods_Downtown,neighbourhoods_Dunbar-Southlands,neighbourhoods_Fairview,neighbourhoods_Grandview-Woodland,neighbourhoods_Hastings-Sunrise,neighbourhoods_Kensington-Cedar Cottage,neighbourhoods_Kerrisdale,neighbourhoods_Killarney,neighbourhoods_Kitsilano,neighbourhoods_Marpole,neighbourhoods_Mount Pleasant,neighbourhoods_Oakridge,neighbourhoods_Renfrew-Collingwood,neighbourhoods_Riley Park,neighbourhoods_Shaughnessy,neighbourhoods_South Cambie,neighbourhoods_Strathcona,neighbourhoods_Sunset,neighbourhoods_Victoria-Fraserview,neighbourhoods_West End,neighbourhoods_West Point Grey,risk
0,0.0,484253.97173162084,5453462.242270079,8727.866753856042,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.0,484199.71907971683,5453641.255848608,8657.941988419969,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2,0.0,484187.3907598227,5453874.971225813,8525.11375851336,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
3,0.0,484099.0643224354,5454030.161642715,8504.246381862518,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
4,0.0,484193.8398552574,5457229.469461359,7032.680449454703,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
5,0.0,484198.5581,5457390.0603,6989.386078670382,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
6,0.0,484198.5581,5457640.0603,6936.068620386576,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
7,0.0,484198.5581,5457890.0603,6891.4133569763,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
8,1.0,484198.5581,5458140.0603,6855.5895593822825,18.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
9,0.0,484196.54494119686,5458357.5599534875,6833.720066736497,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
10,0.0,484530.42787813593,5453232.323236665,8667.263621600421,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
11,0.0,484456.77394553245,5453399.214782974,8612.93226764978,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
12,0.0,484448.5572065745,5453640.059405373,8464.653912207708,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
13,0.0,484406.4812903386,5453814.15622236,8388.531734501576,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
14,0.0,484452.889575834,5456228.986534512,7109.372020941162,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
